Nama Pos,Kabupaten,Kecamatan,Tanggal,Jan,Feb,Mar,Apr,Mei,Jun,Jul,Ags,Sep,Okt,Nov,Des
Lebakbarang Provinsi : Jawa Tengah,Pekalongan,Lebakbarang,1,12.0,89.0,5.0,21.0,41.0,11.0,0.0,0.0,0.0,0.0,11.0,17.0
Lebakbarang Provinsi : Jawa Tengah,Pekalongan,Lebakbarang,2,52.0,60.0,16.0,52.0,60.0,16.0,3.0,0.0,0.0,0.0,28.0,9.0
Lebakbarang Provinsi : Jawa Tengah,Pekalongan,Lebakbarang,3,91.0,31.0,71.0,96.0,49.0,41.0,0.0,0.0,0.0,0.0,31.0,22.0
Lebakbarang Provinsi : Jawa Tengah,Pekalongan,Lebakbarang,4,60.0,95.0,65.0,50.0,21.0,15.0,6.0,0.0,0.0,0.0,16.0,37.0
Lebakbarang Provinsi : Jawa Tengah,Pekalongan,Lebakbarang,5,25.0,102.0,91.0,33.0,11.0,4.0,11.0,0.0,0.0,0.0,3.0,51.0
Lebakbarang Provinsi : Jawa Tengah,Pekalongan,Lebakbarang,6,15.0,28.0,110.0,25.0,3.0,0.0,6.0,0.0,0.0,0.0,11.0,69.0
Lebakbarang Provinsi : Jawa Tengah,Pekalongan,Lebakbarang,7,60.0,68.0,49.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,12.0
Lebakbarang Provinsi : Jawa Tengah,Pekalongan,Lebakbarang,8,71.0,42.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,8.0
Lebakbarang Provinsi : Jawa Tengah,Pekalongan,Lebakbarang,9,101.0,20.0,15.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,17.0,16.0
Lebakbarang Provinsi : Jawa Tengah,Pekalongan,Lebakbarang,10,52.0,15.0,11.0,16.0,4.0,8.0,3.0,0.0,0.0,0.0,28.0,3.0
Lebakbarang Provinsi : Jawa Tengah,Pekalongan,Lebakbarang,11,15.0,39.0,29.0,2.0,8.0,14.0,9.0,0.0,0.0,0.0,14.0,0.0
Lebakbarang Provinsi : Jawa Tengah,Pekalongan,Lebakbarang,12,21.0,136.0,35.0,8.0,15.0,22.0,1.0,0.0,0.0,0.0,19.0,0.0
Lebakbarang Provinsi : Jawa Tengah,Pekalongan,Lebakbarang,13,81.0,16.0,62.0,10.0,21.0,29.0,0.0,0.0,0.0,0.0,42.0,0.0
Lebakbarang Provinsi : Jawa Tengah,Pekalongan,Lebakbarang,14,90.0,0.0,89.0,19.0,18.0,11.0,4.0,0.0,0.0,0.0,13.0,0.0
Lebakbarang Provinsi : Jawa Tengah,Pekalongan,Lebakbarang,15,28.0,12.0,70.0,29.0,14.0,8.0,5.0,0.0,0.0,7.0,10.0,0.0
Lebakbarang Provinsi : Jawa Tengah,Pekalongan,Lebakbarang,16,0.0,80.0,60.0,17.0,20.0,4.0,2.0,0.0,0.0,9.0,17.0,0.0
